row.names.dat_cd8_marker.	SD
TNFRSF9	3.15022639289206
DOCK7	0.31419520400739
GSTM3	0.436341158730739
CSF1	2.12665018773829
RBM15	0.87455327949481
CD160	0.25935744130691
CD244	0.584941953314416
RGS16	1.06696328997075
CFH	0.21940582886748
EIF2AK2	1.18565908313257
TMEM150A	0.467822284064625
IMMT	1.2171127951572
CTLA4	1.90001410911666
PDCD1	1.97804066382553
EOMES	2.0331125430734
ZNF35	0.187839548326009
CCRL2	0.641646428949141
SMIM4	0.703595427570879
PHLDB2	0.61377000809944
TIGIT	6.64155057516976
ACSL1	0.701547368238835
SUB1	4.13369869364136
F2RL1	0.195772191922612
HAVCR2	1.71178872750306
CANX	1.89532936221829
HIST1H1E	1.93471872736169
NELFE	1.28844771736193
MYO6	0.6913279419687
PTPN12	0.441029158093109
PBDC1	1.2230404419119
FHL1	0.299397527164361
VAMP7	0.892830610925759
TERF1	1.30500141967357
GDAP1	0.366688328462963
AUH	0.591177477504207
GTF3C4	0.483583687823107
MRPS2	0.943683945896587
DPP7	1.85544823634596
PTPRJ	1.07985798603501
MRPL48	0.754333032940735
HINFP	0.710396366160294
SPOCK2	5.69494286623505
LAG3	4.8263181130887
PAWR	0.0572929944433112
POLR2C	1.32116634307956
NQO1	0.213597379826132
ZNF821	0.615342120592937
ACADVL	1.65978489249357
COPRS	0.291614391884354
SCAND1	1.67928913358526
NDUFA13	1.77684761990311
TUG1	0.481753311088845
FAM207A	0.740168174087682
MITF	0.0478298160983523
TLR7	0.0124548772758643
GPM6B	0.107016727981436
TGM2	0.033104172012129
EPCAM	0.0143132464169287
AGAP1	0.125235828268468
CHL1	0
CPA3	0.0276592757610393
TM4SF1	0.0619440992635129
ANXA3	0
YAP1	0.0123777789079799
HOXC6	0
HMGA2	0
SYT1	0
COCH	0.152583901615224
EFNB3	0.0244663412851474
IL1A	0.291530815930002
MAP2	0
TRPC1	0.130167412551838
CLDN11	0.0281965571295007
SCRG1	0.078974809308211
HIST1H3F	0.186824107806631
COL19A1	0
TBX15	0
KCNAB1	0.0400941605410623
GDNF	0
CKMT2	0
PCLO	0
STRA6	0
CELF4	0.0252726052329925
SCN7A	0
